code,display_code,title,credits,area,prerequisites,corequisites,is_bundle
ACC 201,ACC 201,Principles of Accounting I,3,Accounting,,,false
ACC 202,ACC 202,Principles of Accounting II,3,Accounting,ACC 201,,false
ACC 301,ACC 301,Intermediate Accounting I,3,Accounting,ACC 201;ACC 202,,false
ACC 302,ACC 302,Intermediate Accounting II,3,Accounting,ACC 201;ACC 202,,false
ACC 331,ACC 331,Management Cost Analysis,3,Accounting,ACC 202,,false
ACC 351,ACC 351,Federal Income Tax,3,Accounting,ACC 201;ACC 202,,false
ACC 381,ACC 381,Information Systems,3,Accounting,ACC 201;ACC 202,,false
ACC 401,ACC 401,Advanced Financial Accounting,3,Accounting,ACC 201;ACC 202;ACC 301;ACC 302,,false
ACC 402,ACC 402,International Accounting,3,Accounting,ACC 201;ACC 202;ACC 301;ACC 401,,false
ACC 481,ACC 481,Auditing,3,Accounting,ACC 201;ACC 202;ACC 301;ACC 302,,false
ACC 490,ACC 490,Independent Study,1-6,Accounting,,,false
ACC 496,ACC 496,Accounting Internship,1-3,Accounting,BUS 210,,false
AFS 101,AFS 101,Foundations of the United States Air Force I,1,Air Force Studies,,,false
AFS 102,AFS 102,Foundations of the United States Air Force II,1,Air Force Studies,,,false
AFS 201,AFS 201,The Evolution of USAF Air and Space Power I,1,Air Force Studies,,,false
AFS 202,AFS 202,The Evolution of USAF Air and Space Power II,1,Air Force Studies,,,false
AFS 301,AFS 301,Air Force Leadership Studies I,3,Air Force Studies,,,false
AFS 302,AFS 302,Air Force Leadership Studies II,3,Air Force Studies,,,false
AFS 401,AFS 401,National Security Affairs and Preparation for Active Duty I,3,Air Force Studies,,,false
AFS 402,AFS 402,National Security Affairs and Preparation for Active Duty II,3,Air Force Studies,,,false
AFS 494,AFS 494,Directed Study,1-3,Air Force Studies,,,false
ART 101,ART 101,Two-Dimensional Design,3,Art,,,false
ART 102,ART 102,Drawing I,3,Art,,,false
ART 103,ART 103,Ceramics I,3,Art,,,false
ART 202,ART 202,Drawing II,3,Art,ART 102,,false
ART 206,ART 206,Painting I,3,Art,ART 101;ART 102,,false
ART 207,ART 207,Printmaking I,3,Art,ART 102,,false
ART 208,ART 208,Introduction to Digital Design,3,Art,,,false
ART 209,ART 209,Three-Dimensional Design,3,Art,,,false
ART 220,ART 220,Graphic Design I,3,Art,ART 101;ART 102;ART 208,,false
ART 230,ART 230,Color Theory,3,Art,ART 101,,false
ART 240,ART 240,Typography I,3,Art,ART 208,,false
ART 253,ART 253,Introduction to Digital Video Production,3,Art,,,false
ART 254,ART 254,Introduction to Photography,3,Art,,,false
ART 299,ART 299,Special Topics,1-3,Art,,,false
ART 301,ART 301,Advanced Drawing,3,Art,ART 202,,false
ART 302,ART 302,Illustration,3,Art,ART 102;ART 208,,false
ART 303,ART 303,Ceramics II,3,Art,ART 103,,false
ART 306,ART 306,Painting II,3,Art,ART 206,,false
ART 307,ART 307,Printmaking II,3,Art,ART 207,,false
ART 310,ART 310,Mixed Media,3,Art,ART 101;ART 102,,false
ART 320,ART 320,Graphic Design II,3,Art,ART 208;ART 220,,false
ART 338,ART 338,Advanced Photography,3,Art,CMM 254;ART 254,,false
ART 341,ART 341,Typography II,3,Art,ART 240;ART 320,,false
ART 371,ART 371,UX/UI Design,3,Art,,,false
ART 403,ART 403,Ceramics III,3,Art,ART 303,,false
ART 406,ART 406,Painting Concepts,3,Art,ART 306,,false
ART 408,ART 408,Ceramics IV,3,Art,ART 403,,false
ART 410,ART 410,Advanced Printmaking I,3,Art,ART 307,,false
ART 411,ART 411,Advanced Printmaking II,3,Art,ART 410,,false
ART 416,ART 416,Painting Concepts II,3,Art,ART 406,,false
ART 417,ART 417,Painting Studio I,3,Art,ART 416,,false
ART 418,ART 418,Painting Studio II,3,Art,ART 417,,false
ART 430,ART 430,Branding,3,Art,ART 320,,false
ART 435,ART 435,Motion Graphics,3,Art,CMM 253,,false
ART 490,ART 490,Visual Arts Internship,1-6,Art,,,false
ART 491,ART 491,Graphic Design Senior Seminar,3,Art,,,false
ART 493,ART 493,Senior Studio I,3,Art,,,false
ART 494,ART 494,Senior Studio II,3,Art,ART 493,,false
ART 495,ART 495,Studio Senior Seminar I,2,Art,,,false
ART 496,ART 496,Studio Senior Seminar II,2,Art,,,false
ART 497,ART 497,Art Education Senior Seminar,2,Art,,,false
ART 499,ART 499,Special Topics,1-3,Art,,,false
ART 501,ART 501,Studies in Art,3,Art,,,false
ART 502,ART 502,Painting,3,Art,,,false
ART 503,ART 503,Ceramics,3,Art,,,false
ARH 100,ARH 100,Art Appreciation,3,Art History,,,false
ARH 200,ARH 200,The Great Artists,3,Art History,,,false
ARH 299,ARH 299,Special Topics,3,Art History,,,false
ARH 310,ARH 310,Prehistoric to Renaissance Art,3,Art History,,,false
ARH 311,ARH 311,Renaissance to Modern Art,3,Art History,,,false
ARH 312,ARH 312,Modern to Contemporary Art,3,Art History,,,false
ARH 313,ARH 313,Contemporary Art,3,Art History,,,false
ARH 315,ARH 315,History of Graphic Design,3,Art History,,,false
ARH 499,ARH 499,Special Topics,1-3,Art History,,,false
ARH 501,ARH 501,Studies in Art History,3,Art History,,,false
BIO 100,BIO 100,Human Biology,3,Biology,,,false
BIO 101,BIO 101,Principles of Biology,3,Biology,,BIO 103;MTH 111;MTH 121,false
BIO 102,BIO 102,Botany,3,Biology,BIO 101;BIO 103,BIO 104,false
BIO 103,BIO 103,Principles of Biology Laboratory,1,Biology,,BIO 101,false
BIO 104,BIO 104,Botany Laboratory,1,Biology,,BIO 102,false
BIO 105,BIO 105,Introduction to Marine Science,3,Biology,BIO 101,,false
BIO 110,BIO 110,Environmental Biology,3,Biology,,,false
BIO 115,BIO 115,Biology of Sex,3,Biology,,,false
BIO 116,BIO 116,Microbes and Society,3,Biology,,,false
BIO 117,BIO 117,Forensic Biology,3,Biology,,,false
BIO 120,BIO 120,Farms to Pharmaceuticals: The Botany of Everyday Things,3,Biology,,,false
BIO 125,BIO 125,Pandemics,3,Biology,,,false
BIO 140,BIO 140,STEM Community Service Seminar,1-2,Biology,,BIO 101;BIO 103,false
BIO 201,BIO 201,Flora of the Gulf Coast,3,Biology,,,false
BIO 202,BIO 202,Pre-Health Shadowing I,1,Biology,,,false
BIO 203,BIO 203,Pre-Health Shadowing II,1,Biology,BIO 202,,false
BIO 205,BIO 205,Invertebrate Zoology,3,Biology,BIO 101;CHM 112,BIO 207,false
BIO 207,BIO 207,Invertebrate Zoology Laboratory,1,Biology,,BIO 205,false
BIO 220,BIO 220,Biology of Women,3,Biology,ENG 123;ENG 290,,false
BIO 225,BIO 225,Foundations of Epidemiology,3,Biology,,,false
BIO 236,BIO 236,Microbial Biology,3,Biology,BIO 101,,false
BIO 238,BIO 238,Microbial Biology Laboratory,1,Biology,,BIO 236,false
BIO 240,BIO 240,Biomedical Anatomy and Physiology I,3,Biology,BIO 101,BIO 243;BIO 244,false
BIO 241,BIO 241,Biomedical Anatomy and Physiology II,3,Biology,BIO 101,BIO 243;BIO 244,false
BIO 243,BIO 243,Biomedical Anatomy and Physiology Laboratory I,1,Biology,,BIO 240;BIO 241,false
BIO 244,BIO 244,Biomedical Anatomy and Physiology Laboratory II,1,Biology,,BIO 240;BIO 241,false
BIO 254,BIO 254,Vertebrate Zoology,2,Biology,BIO 205;BIO 207,BIO 256,false
BIO 256,BIO 256,Vertebrate Zoology Laboratory,2,Biology,,BIO 254,false
BIO 301,BIO 301,Genetics,3,Biology,BIO 101;BIO 241;BIO 254,BIO 302,false
BIO 302,BIO 302,Genetics Laboratory,1,Biology,,BIO 301,false
BIO 310,BIO 310,Animal Behavior,3,Biology,BIO 301,,false
BIO 322,BIO 322,Developmental Biology,3,Biology,BIO 101;BIO 241;BIO 254;BIO 301,BIO 324,false
BIO 324,BIO 324,Developmental Biology Laboratory,1,Biology,,BIO 322,false
BIO 330,BIO 330,Entomology,3,Biology,BIO 101,BIO 331,false
BIO 331,BIO 331,Entomology Laboratory,1,Biology,,BIO 330,false
BIO 334,BIO 334,Introductory Biophysics,3,Biology,PHY 222;MTH 122,,false
BIO 340,BIO 340,History and Literature of Biology,3,Biology,BIO 101,,false
BIO 351,BIO 351,Parasitology,3,Biology,BIO 254;BIO 241,BIO 353,false
BIO 353,BIO 353,Parasitology Laboratory,1,Biology,,BIO 351,false
BIO 355,BIO 355,Ecology,2,Biology,BIO 301,BIO 357,false
BIO 357,BIO 357,Ecology Laboratory,2,Biology,,BIO 355,false
BIO 360,BIO 360,Cell Biology,3,Biology,BIO 205;BIO 207;BIO 241;CHM 231;CHM 234,BIO 362,false
BIO 362,BIO 362,Cell and Molecular Biology Laboratory,1,Biology,,BIO 360,false
BIO 410,BIO 410,Immunology,3,Biology,,BIO 301,false
BIO 412,BIO 412,Emerging Pathogens,3,Biology,,,false
BIO 421,BIO 421,Histology,2,Biology,BIO 360,BIO 423,false
BIO 423,BIO 423,Histology Laboratory,2,Biology,,BIO 421,false
BIO 440,BIO 440,Basic and Clinical Endocrinology,3,Biology,BIO 241,,false
BIO 450,BIO 450,Molecular Biology,3,Biology,BIO 301;BIO 360,,false
BIO 460,BIO 460,Evolution,3,Biology,,,false
BIO 462,BIO 462,General Physiology,3,Biology,BIO 241;BIO 360,BIO 464,false
BIO 464,BIO 464,General Physiology Laboratory,1,Biology,,BIO 462,false
BIO 466,BIO 466,Biology of Cancer,3,Biology,BIO 301;BIO 302;BIO 360,,false
BIO 470,BIO 470,Mechanisms of Disease,3,Biology,BIO 301,,false
BIO 480,BIO 480,Neurobiology,3,Biology,BIO 360;CHM 232,,false
BIO 499,BIO 499,Special Topics,1-4,Biology,BIO 301,,false
BUS 201,BUS 201,Personal Financial Literacy,3,Business,,,false
BUS 210,BUS 210,Business Communication,3,Business,ENG 123,,false
BUS 220,BUS 220,"Business, Society, and Sustainability",3,Business,,,false
BUS 263,BUS 263,Business Statistics,3,Business,,,false
BUS 264,BUS 264,Management Science,3,Business,BUS 263,,false
BUS 301,BUS 301,Business Law I,3,Business,,,false
BUS 302,BUS 302,Business Law II,3,Business,BUS 301,,false
BUS 320,BUS 320,International Business,3,Business,,,false
BUS 376,BUS 376,Intercultural Communication,3,Business,,,false
BUS 395,BUS 395,Pre-Professional Development,1,Business,,,false
BUS 490,BUS 490,Independent Study in Business Administration,variable,Business,,,false
BUS 496,BUS 496,Business Internship,1-3,Business,BUS 210,,false
BUS 499,BUS 499,Business Strategy and Policy,3,Business,,,false
BUS 520,BUS 520,Organizational Behavior and Ethical Decision Making,3,Business,,,false
BUS 525,BUS 525,Leadership,3,Business,,,false
BUS 530,BUS 530,Business Ethics and Social Responsibility,3,Business,,,false
BUS 535,BUS 535,Cost Accounting and Financial Analysis,3,Business,,,false
BUS 550,BUS 550,Managerial Economics and Corporate Profitability,3,Business,,,false
BUS 565,BUS 565,Logistics and Supply Chain Management,3,Business,,,false
BUS 571,BUS 571,Procurement and Material Management,3,Business,,,false
BUS 572,BUS 572,Logistics Information Systems,3,Business,,,false
BUS 573,BUS 573,Case Studies in Logistics and Supply Chain Management,3,Business,,,false
BUS 574,BUS 574,Management and Distribution of Inventory,3,Business,,,false
BUS 580,BUS 580,International Business,3,Business,,,false
BUS 592,BUS 592,Conflict Management,3,Business,,,false
BUS 595,BUS 595,Special Topics,3,Business,,,false
BUS 599,BUS 599,"Business Strategy, Policy, and Sustainability",3,Business,,,false
BUS 671,BUS 671,Project Management I,3,Business,,,false
BUS 672,BUS 672,Project Management II,3,Business,,,false
BUS 673,BUS 673,Project Management Software,3,Business,,,false
BUS 674,BUS 674,Project Management Capstone,3,Business,,,false
BAN 363,BAN 363,Essentials of Business Analytics,3,Business Analytics,,,false
BAN 463,BAN 463,Advanced Business Analytics,3,Business Analytics,BAN 363,,false
BAN 570,BAN 570,Introduction to Data Analytics,3,Business Analytics,,,false
BAN 571,BAN 571,Introduction to Management Science,3,Business Analytics,BAN 570,,false
BAN 572,BAN 572,Introduction to Business Analytics,3,Business Analytics,BAN 570,,false
BAN 573,BAN 573,Advanced Business Analytics,3,Business Analytics,BAN 570,,false
CHM 100,CHM 100,Chemistry in the Modern World,3,Chemistry,,,false
CHM 101,CHM 101,Chemistry and Life Processes,3,Chemistry,,,false
CHM 102,CHM 102,Forensic Sciences,3,Chemistry,,,false
CHM 103,CHM 103,Environmental Sustainability,3,Chemistry,,,false
CHM 110,CHM 110,Introduction to General Chemistry,3,Chemistry,,,false
CHM 111,CHM 111,General Chemistry I,3,Chemistry,MTH 111;MTH 121,CHM 113;CHM 115,false
CHM 112,CHM 112,General Chemistry II,3,Chemistry,CHM 111,CHM 114,false
CHM 113,CHM 113,General Chemistry I Laboratory,1,Chemistry,,CHM 111,false
CHM 114,CHM 114,General Chemistry II Laboratory,1,Chemistry,,CHM 112,false
CHM 115,CHM 115,General Chemistry I Recitation,0,Chemistry,,CHM 111,false
CHM 193,CHM 193,Honors General Chemistry I Laboratory,1,Chemistry,,,false
CHM 231,CHM 231,Organic Chemistry I,3,Chemistry,CHM 112,CHM 233;CHM 235,false
CHM 232,CHM 232,Organic Chemistry II,3,Chemistry,CHM 231,CHM 234,false
CHM 233,CHM 233,Organic Chemistry Laboratory I,1,Chemistry,,CHM 231,false
CHM 234,CHM 234,Organic Chemistry Laboratory II,1,Chemistry,,CHM 232,false
CHM 235,CHM 235,Organic Chemistry Recitation,0,Chemistry,,,false
CHM 302,CHM 302,Instrumental Analysis,3,Chemistry,CHM 351,CHM 304,false
CHM 304,CHM 304,Instrumental Analysis Laboratory,2,Chemistry,,CHM 302,false
CHM 311,CHM 311,Food Chemistry,3,Chemistry,CHM 231,,false
CHM 313,CHM 313,Food Chemistry Laboratory,1,Chemistry,,CHM 311,false
CHM 351,CHM 351,Analytical Chemistry,3,Chemistry,CHM 112,CHM 353,false
CHM 353,CHM 353,Analytical Chemistry Laboratory,1,Chemistry,,CHM 351,false
CHM 381,CHM 381,Environmental Chemistry,3,Chemistry,CHM 112;CHM 114,,false
CHM 392,CHM 392,Junior Seminar,1,Chemistry,,,false
CHM 395,CHM 395,Junior Chemistry Research,1-2,Chemistry,,,false
CHM 396,CHM 396,Junior Chemistry Research,1-2,Chemistry,,,false
CHM 422,CHM 422,Biophysical Chemistry,3,Chemistry,CHM 461,CHM 424,false
CHM 424,CHM 424,Biophysical Chemistry Laboratory,1,Chemistry,CHM 461,CHM 422,false
CHM 441,CHM 441,Physical Chemistry I,3,Chemistry,,PHY 222;MTH 122,false
CHM 442,CHM 442,Physical Chemistry II,3,Chemistry,,PHY 222;MTH 323,false
CHM 443,CHM 443,Physical Chemistry Laboratory I,1,Chemistry,,CHM 441,false
CHM 444,CHM 444,Physical Chemistry Laboratory II,1,Chemistry,,CHM 442,false
CHM 451,CHM 451,Advanced Inorganic Chemistry,3,Chemistry,CHM 231,CHM 453,false
CHM 453,CHM 453,Advanced Inorganic Chemistry Laboratory,1,Chemistry,,CHM 451,false
CHM 461,CHM 461,Biochemistry I,3,Chemistry,CHM 231;BIO 360,,false
CHM 462,CHM 462,Biochemistry II,3,Chemistry,CHM 232,,false
CHM 464,CHM 464,Biochemistry Laboratory,1,Chemistry,,CHM 461;CHM 462,false
CHM 466,CHM 466,Drug Discovery,3,Chemistry,CHM 461,,false
CHM 481,CHM 481,Spectrometric Methods of Structure Determination,3,Chemistry,CHM 232,,false
CHM 485,CHM 485,Special Studies in Chemistry,1-3,Chemistry,,,false
CHM 487,CHM 487,Chemistry Internship,1-3,Chemistry,,,false
CHM 488,CHM 488,Chemistry Internship,1-3,Chemistry,,,false
CHM 492,CHM 492,Senior Seminar,1,Chemistry,,,false
CHM 495,CHM 495,Senior Chemistry Research,1-3,Chemistry,,,false
CHM 496,CHM 496,Senior Chemistry Research,1-3,Chemistry,,,false
CMM 145,CMM 145,Introduction to Media Studies,3,Communication Arts,,,false
CMM 150,CMM 150,Introduction to Public Speaking,3,Communication Arts,,,false
CMM 215,CMM 215,Podcasting,3,Communication Arts,,,false
CMM 220,CMM 220,Principles of Strategic Communication,3,Communication Arts,,,false
CMM 225,CMM 225,Communication for Non-Profits,3,Communication Arts,,,false
CMM 251,CMM 251,Introduction to Media Writing,3,Communication Arts,ENG 123,,false
CMM 252,CMM 252,Introduction to Media Production Lab,3,Communication Arts,,CMM 251,false
CMM 253,CMM 253,Introduction to Digital Video Production,3,Communication Arts,,,false
CMM 254,CMM 254,Introduction to Photography,3,Communication Arts,,,false
CMM 260,CMM 260,Visual Communication,3,Communication Arts,,,false
CMM 261,CMM 261,Features and Commentaries,3,Communication Arts,,,false
CMM 290,CMM 290,Pre-Professional Development,1,Communication Arts,,,false
CMM 299,CMM 299,Tech Tools,1-3,Communication Arts,,,false
CMM 315,CMM 315,Crisis Communication,3,Communication Arts,CMM 220;BUS 210,,false
CMM 321,CMM 321,Multimedia Storytelling,3,Communication Arts,CMM 251;CMM 252,,false
CMM 324,CMM 324,Media Law and Professional Ethics,3,Communication Arts,,,false
CMM 327,CMM 327,History of Film and TV,3,Communication Arts,,,false
CMM 329,CMM 329,Digital Cinema Production,3,Communication Arts,CMM 253,,false
CMM 331,CMM 331,Scriptwriting for Film and TV,3,Communication Arts,ENG 123,,false
CMM 335,CMM 335,Communication Research,3,Communication Arts,CMM 220;CMM 221,,false
CMM 338,CMM 338,Advanced Photography,3,Communication Arts,CMM 254;ART 254,,false
CMM 343,CMM 343,Advanced Newsgathering,3,Communication Arts,CMM 251,,false
CMM 364,CMM 364,Media Planning and Measurement,3,Communication Arts,MKT 311;CMM 220,,false
CMM 365,CMM 365,Strategic Writing,3,Communication Arts,CMM 251,,false
CMM 366,CMM 366,Strategic Planning for PR and Advertising,3,Communication Arts,CMM 220;CMM 221,,false
CMM 370,CMM 370,Communication Theory,3,Communication Arts,,,false
CMM 371,CMM 371,Media History,3,Communication Arts,CMM 145,,false
CMM 373,CMM 373,Student Media Content,3,Communication Arts,,,false
CMM 375,CMM 375,Gender Communication,3,Communication Arts,,,false
CMM 376,CMM 376,Intercultural Communication,3,Communication Arts,,,false
CMM 415,CMM 415,Photojournalism,3,Communication Arts,CMM 254;ART 254,,false
CMM 429,CMM 429,Advanced Digital Video Production,3,Communication Arts,CMM 253,,false
CMM 435,CMM 435,Motion Graphics,3,Communication Arts,CMM 253,,false
CMM 472,CMM 472,Student Agency,3,Communication Arts,CMM 366,,false
CMM 473,CMM 473,Student Media Management,3,Communication Arts,,,false
CMM 489,CMM 489,Independent Study,1-3,Communication Arts,,,false
CMM 490,CMM 490,Communication Arts Internship,1-6,Communication Arts,CMM 290,,false
CMM 495,CMM 495,Senior Seminar,4,Communication Arts,,,false
CMM 499,CMM 499,Special Studies,3,Communication Arts,,,false
CMM 501,CMM 501,Studies in Communication Arts,1-3,Communication Arts,,,false
CMM 502,CMM 502,Gender Communication,3,Communication Arts,,,false
CMM 503,CMM 503,Intercultural Communication,3,Communication Arts,,,false
CMM 510,CMM 510,Classical Rhetoric,3,Communication Arts,,,false
SAS 302,SAS 302,Foley Center Career-Related Internship,2,Community Service,,,false
SAS 303,SAS 303,Pre-Law Internship,3,Community Service,,,false
CIS 371,CIS 371,Website Development,3,Computer Information Systems,,,false
