requirement_id,title,credits,category,course_code,criteria_type,choices,prefixes,min_level,max_level,min_credits
CSC 100,Computer Science 0: Foundations,4,Required,CSC 100,,,,,,
CSC 101,Computer Science 1: Principles,4,Required,CSC 101,,,,,,
CSC 202,Computer Science 2: Data Structures,4,Required,CSC 202,,,,,,
CSC 203,Computer Science 3: Algorithms,4,Required,CSC 203,,,,,,
MTH 121,Calculus I,4,Required,MTH 121,,,,,,
MTH 122,Calculus II,4,Required,MTH 122,,,,,,
MTH 221,Linear Algebra,3,Required,MTH 221,,,,,,
STATISTICS,"Statistics: MTH 163, BUS 263, or PSY 263",3,Choice,,choice,MTH 163|BUS 263|PSY 263,,,,3
DSC 240,Data Visualization,3,Required,DSC 240,,,,,,
MTH 322,Discrete Mathematics,3,Required,MTH 322,,,,,,
MTH 365,Probability and Statistics,3,Required,MTH 365,,,,,,
CSC 312,Database Systems and Theory,3,Required,CSC 312,,,,,,
CSC 341,Data Science 1,3,Required,CSC 341,,,,,,
DSC 442,Data Analysis,3,Required,DSC 442,,,,,,
DSC 443,"AI, Machine Learning, and Deep Learning",3,Required,DSC 443,,,,,,
DSC 499,Senior Seminar in AI and Data Science,1,Required,DSC 499,,,,,,
AI CSC ELECTIVE 1,CSC 3XX/4XX Elective,3,Elective,,elective,,CSC,300,499,3
AI CSC ELECTIVE 2,CSC 3XX/4XX Elective,3,Elective,,elective,,CSC,300,499,3
AI MTH ELECTIVE 1,MTH 3XX/4XX Elective,3,Elective,,elective,,MTH,300,499,3
